2	7	5	11	0	0
2	3	8	12	1	0
5	6	9	13	1	1
9	12	17	21	3	1
8	11	13	17	0	1
2	6	6	11	0	0
8	14	12	19	1	1
5	11	15	13	1	0
7	10	10	17	4	0
8	18	15	24	1	2
5	9	13	18	1	2
5	17	15	23	0	1
7	8	14	14	1	1
4	5	7	13	0	0
8	11	16	20	0	1
5	7	9	10	0	0
5	13	9	23	0	1
5	21	11	24	1	2
7	8	12	17	0	0
2	21	12	26	0	0
10	18	19	22	1	0
4	12	8	18	0	1
2	8	8	15	0	0
2	8	7	16	1	1
4	9	13	13	2	1
5	11	8	20	0	2
10	14	12	22	0	0
3	8	10	15	0	0
7	4	14	13	1	1
4	9	13	12	0	0
2	7	7	15	0	0
7	13	14	20	0	1
2	9	11	14	0	0
5	9	12	14	0	1
4	10	8	17	0	0
2	12	8	18	0	0
4	9	9	18	0	1
4	6	10	11	1	0
7	11	12	17	1	0
4	9	10	15	1	0
4	8	13	12	0	0
11	19	13	22	0	0
2	2	9	12	2	2
3	13	12	18	0	1
4	8	12	16	0	1
7	5	14	7	2	0
2	8	6	13	0	2
2	12	6	21	1	2
1	5	10	14	1	2
4	4	8	13	0	2
1	6	10	15	0	0
6	6	14	14	0	2
13	18	18	22	1	1
2	7	5	11	1	1
5	7	9	13	0	0
8	18	11	24	0	0
7	7	13	16	2	0
2	7	5	10	0	0
5	7	14	15	0	2
3	10	10	19	1	1
5	14	9	21	0	1
3	13	6	22	0	0
4	8	11	12	0	1
6	10	8	20	1	0
6	8	11	11	0	1
2	7	8	14	1	0
5	3	12	8	1	0
15	16	18	18	3	1
7	14	10	18	0	0
2	4	4	11	1	0
4	12	7	19	0	1
2	15	8	21	1	1
3	9	10	15	1	0
1	4	6	12	0	0
3	5	12	14	1	0
2	13	12	21	2	0
3	6	5	15	0	2
3	9	9	15	0	1
12	26	15	28	0	0
1	12	11	21	0	2
7	7	13	13	2	0
3	9	7	14	1	0
3	7	11	12	0	0
4	9	13	15	1	2
7	13	12	21	0	1
2	7	11	10	1	1
5	9	11	16	0	3
5	10	11	16	0	0
3	7	7	14	0	1
2	9	9	14	2	0
2	8	9	16	0	0
2	6	10	14	1	1
3	9	7	16	1	1
11	17	19	21	0	0
5	7	14	16	1	1
3	8	12	11	2	1
1	5	10	10	0	1
8	13	11	17	0	1
3	7	6	15	2	0
1	12	3	16	0	2
2	12	7	15	0	0
22	31	27	33	0	1
8	15	12	18	0	1
2	8	4	13	1	2
4	3	7	11	0	1
3	8	8	16	1	1
4	5	13	9	1	1
16	24	24	34	4	3
4	6	6	9	1	1
2	14	5	18	0	1
8	13	10	16	0	1
2	21	7	23	0	0
3	9	9	14	2	0
2	9	4	12	0	0
3	23	6	27	0	1
5	13	15	19	0	2
2	8	6	13	2	1
11	17	17	22	0	0
9	15	15	20	2	2
2	5	4	9	0	0
5	14	7	21	0	2
5	13	12	17	0	1
11	18	19	25	0	0
2	6	5	13	0	2
2	9	11	13	1	0
4	14	9	17	0	1
1	9	4	17	0	1
7	10	17	14	0	0
9	9	13	13	0	1
1	9	7	18	1	1
4	20	12	26	1	2
12	17	16	20	0	0
9	11	13	20	2	2
2	24	10	29	1	2
2	11	9	17	0	0
2	14	4	18	0	1
2	16	4	20	0	0
4	2	14	10	0	0
4	8	14	12	0	0
6	4	14	12	1	0
3	9	13	18	0	0
2	11	10	16	1	3
13	18	20	24	0	0
2	16	10	19	1	1
4	6	10	9	0	1
2	12	10	21	0	0
8	14	13	24	2	1
4	7	6	16	1	2
2	15	5	20	0	1
15	19	21	27	0	0
3	12	9	15	0	0
3	10	13	16	0	1
4	8	11	15	2	0
5	5	13	13	0	0
14	18	21	23	0	0
2	9	5	19	0	1
14	17	21	26	0	2
2	4	4	13	0	0
11	29	16	35	0	2
9	8	14	11	1	3
3	14	12	23	1	1
6	22	15	27	0	1
2	7	12	11	0	0
2	10	10	20	0	1
4	9	11	15	0	1
4	14	9	22	0	1
6	7	15	15	0	1
27	45	30	50	0	1
4	11	12	14	0	0
1	21	6	25	0	3
4	8	8	11	1	1
5	8	10	15	1	2
2	8	8	13	0	0
1	6	8	10	0	1
3	11	10	14	0	1
7	7	16	9	0	0
3	11	7	21	0	0
1	8	3	13	0	0
11	17	16	22	0	1
7	8	12	16	0	1
6	6	13	14	1	2
12	17	16	21	1	1
9	5	13	11	2	0
16	26	25	28	5	0
